Project Name,Checkpoint Name,Created On,File Name,Method,Complexity,Statements,Maximum Depth,Calls
polinomio,Baseline,10 mar. 2021,src\examen2\App.java,App.main(),16,53,6,40
polinomio,Baseline,10 mar. 2021,src\examen2\App.java,App.operaciones(),9,22,3,29
polinomio,Baseline,10 mar. 2021,src\examen2\Interpolacion.java,Interpolacion.calculoXr(),1,5,2,2
polinomio,Baseline,10 mar. 2021,src\examen2\Interpolacion.java,Interpolacion.interpol(),9,18,5,9
polinomio,Baseline,10 mar. 2021,src\examen2\Interpolacion.java,Interpolacion.main(),2,12,3,6
polinomio,Baseline,10 mar. 2021,src\examen2\Interpolacion.java,Interpolacion.sustitucion(),4,18,4,13
polinomio,Baseline,10 mar. 2021,src\examen2\polinomio.java,polinomio.add(),1,1,2,1
polinomio,Baseline,10 mar. 2021,src\examen2\polinomio.java,polinomio.calculoRouth(),2,4,3,0
polinomio,Baseline,10 mar. 2021,src\examen2\polinomio.java,polinomio.eliminarX(),2,7,3,8
polinomio,Baseline,10 mar. 2021,src\examen2\polinomio.java,polinomio.getPolinomio(),1,1,2,1
polinomio,Baseline,10 mar. 2021,src\examen2\polinomio.java,polinomio.getResto(),1,1,2,0
polinomio,Baseline,10 mar. 2021,src\examen2\polinomio.java,polinomio.listaPolinomios(),2,4,3,1
polinomio,Baseline,10 mar. 2021,src\examen2\polinomio.java,polinomio.multiplicacion(),5,15,5,17
polinomio,Baseline,10 mar. 2021,src\examen2\polinomio.java,polinomio.polinomio(),1,1,2,0
polinomio,Baseline,10 mar. 2021,src\examen2\polinomio.java,polinomio.poliToString(),23,36,6,10
polinomio,Baseline,10 mar. 2021,src\examen2\polinomio.java,polinomio.routh(),32,70,10,12
polinomio,Baseline,10 mar. 2021,src\examen2\polinomio.java,polinomio.ruffini(),9,22,4,19
polinomio,Baseline,10 mar. 2021,src\examen2\polinomio.java,polinomio.suma(),3,10,4,11
polinomio,Baseline,10 mar. 2021,test\examen2\InterpolacionTest.java,InterpolacionTest.interpolTestMismos(),2,5,3,3
polinomio,Baseline,10 mar. 2021,test\examen2\InterpolacionTest.java,InterpolacionTest.interTestGranError(),2,4,3,3
polinomio,Baseline,10 mar. 2021,test\examen2\InterpolacionTest.java,InterpolacionTest.interTestPeqError(),2,4,3,3
polinomio,Baseline,10 mar. 2021,test\examen2\InterpolacionTest.java,InterpolacionTest.precisionTest(),2,5,3,3
polinomio,Baseline,10 mar. 2021,test\examen2\InterpolacionTest.java,InterpolacionTest.sustitucionTest(),1,4,2,8
polinomio,Baseline,10 mar. 2021,test\examen2\polinomioTest.java,polinomioTest.before(),1,61,2,51
polinomio,Baseline,10 mar. 2021,test\examen2\polinomioTest.java,polinomioTest.equals(),3,14,4,8
polinomio,Baseline,10 mar. 2021,test\examen2\polinomioTest.java,polinomioTest.productoTest(),3,12,3,11
polinomio,Baseline,10 mar. 2021,test\examen2\polinomioTest.java,polinomioTest.routhTest(),1,57,2,14
polinomio,Baseline,10 mar. 2021,test\examen2\polinomioTest.java,polinomioTest.ruffiniTest(),1,8,2,9
polinomio,Baseline,10 mar. 2021,test\examen2\polinomioTest.java,polinomioTest.Sumatest(),1,7,2,8
